,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Count,Age,Historic
30,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016,2.5,3067.0,3.0,1.0,0.0,[[1954.09294906]],Yarra,Northern Metropolitan,30,[[66.90705094]],Historic
31,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,2.0,2.0,147.0,[[1954.09294906]],Yarra,Northern Metropolitan,31,[[66.90705094]],Historic
32,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,1.0,1.0,168.0,1950.0,Yarra,Northern Metropolitan,32,71.0,Historic
33,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,0.0,2013.0,Yarra,Northern Metropolitan,33,8.0,Contemporary
34,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,1.0,0.0,162.0,1900.0,Yarra,Northern Metropolitan,34,121.0,Historic
35,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,120.0,1998.0,Yarra,Northern Metropolitan,35,23.0,Contemporary
36,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,1.0,0.0,182.0,1900.0,Yarra,Northern Metropolitan,36,121.0,Historic
37,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,1.0,1.0,172.0,1930.0,Yarra,Northern Metropolitan,37,91.0,Historic
38,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,3/09/2016,13.5,3042.0,2.0,1.0,303.0,2016.0,Moonee Valley,Western Metropolitan,38,5.0,Contemporary
39,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,2.0,1.0,0.0,1965.0,Moonee Valley,Western Metropolitan,39,56.0,Historic
41,Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,1.0,1.0,272.0,1950.0,Moonee Valley,Western Metropolitan,41,71.0,Historic
42,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,4/03/2017,13.5,3042.0,2.0,2.0,239.0,2009.0,Moonee Valley,Western Metropolitan,42,12.0,Contemporary
43,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,1.0,1.0,290.0,1980.0,Moonee Valley,Western Metropolitan,43,41.0,Contemporary
44,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,4/03/2017,13.5,3042.0,1.0,1.0,168.0,2011.0,Moonee Valley,Western Metropolitan,44,10.0,Contemporary
45,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,1.0,1.0,620.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,45,[[50.4036841]],Contemporary
46,Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016,13.5,3042.0,1.0,2.0,597.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,46,[[50.4036841]],Contemporary
48,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,7/05/2016,13.5,3042.0,1.0,1.0,110.0,2015.0,Moonee Valley,Western Metropolitan,47,6.0,Contemporary
49,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,13.5,3042.0,1.0,1.0,141.0,2013.0,Moonee Valley,Western Metropolitan,48,8.0,Contemporary
50,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,13.5,3042.0,1.0,1.0,120.0,2012.0,Moonee Valley,Western Metropolitan,49,9.0,Contemporary
52,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,1.0,1.0,0.0,1950.0,Moonee Valley,Western Metropolitan,51,71.0,Historic
53,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,13.5,3042.0,1.0,1.0,265.0,1993.0,Moonee Valley,Western Metropolitan,52,28.0,Contemporary
54,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,1.0,1.0,192.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,53,[[50.4036841]],Contemporary
55,Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,3042.0,2.0,2.0,596.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,54,[[50.4036841]],Contemporary
56,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,13.5,3042.0,2.0,2.0,165.0,2009.0,Moonee Valley,Western Metropolitan,55,12.0,Contemporary
57,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,1.0,2.0,971.0,1960.0,Moonee Valley,Western Metropolitan,56,61.0,Historic
58,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16/07/2016,13.5,3042.0,1.0,1.0,164.0,2003.0,Moonee Valley,Western Metropolitan,57,18.0,Contemporary
59,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016,13.5,3042.0,2.0,2.0,657.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,58,[[50.4036841]],Contemporary
60,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,1.0,1.0,612.0,1975.0,Moonee Valley,Western Metropolitan,59,46.0,Contemporary
62,Airport West,75 King St,3,h,910000.0,S,McDonald,17/09/2016,13.5,3042.0,1.0,1.0,775.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,61,[[50.4036841]],Contemporary
63,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016,13.5,3042.0,3.0,4.0,531.0,1980.0,Moonee Valley,Western Metropolitan,62,41.0,Contemporary
64,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,13.5,3042.0,3.0,2.0,555.0,1980.0,Moonee Valley,Western Metropolitan,63,41.0,Contemporary
65,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,13.5,3042.0,2.0,2.0,422.0,1995.0,Moonee Valley,Western Metropolitan,64,26.0,Contemporary
66,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18/03/2017,13.5,3042.0,1.0,3.0,614.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,65,[[50.4036841]],Contemporary
67,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,13.5,3042.0,2.0,1.0,161.0,2010.0,Moonee Valley,Western Metropolitan,66,11.0,Contemporary
68,Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016,13.5,3042.0,2.0,1.0,293.0,1960.0,Moonee Valley,Western Metropolitan,67,61.0,Historic
69,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,1.0,1.0,579.0,1975.0,Moonee Valley,Western Metropolitan,68,46.0,Contemporary
70,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016,13.5,3042.0,1.0,1.0,623.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,69,[[50.4036841]],Contemporary
71,Airport West,2/13 North St,2,u,510000.0,S,Nelson,22/08/2016,13.5,3042.0,1.0,1.0,141.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,70,[[50.4036841]],Contemporary
72,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016,13.5,3042.0,2.0,1.0,212.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,71,[[50.4036841]],Contemporary
73,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016,13.5,3042.0,1.0,2.0,612.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,72,[[50.4036841]],Contemporary
74,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24/09/2016,13.5,3042.0,3.0,2.0,532.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,73,[[50.4036841]],Contemporary
75,Airport West,33 North St,3,h,720000.0,PI,Nelson,25/02/2017,13.5,3042.0,1.0,1.0,585.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,74,[[50.4036841]],Contemporary
76,Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27/11/2016,13.5,3042.0,1.0,2.0,509.0,[[1970.5963159]],Moonee Valley,Western Metropolitan,75,[[50.4036841]],Contemporary
77,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3042.0,2.0,3.0,628.0,1975.0,Moonee Valley,Western Metropolitan,76,46.0,Contemporary
78,Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,3206.0,1.0,0.0,120.0,1900.0,Port Phillip,Southern Metropolitan,77,121.0,Historic
79,Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,3/09/2016,3.3,3206.0,1.0,0.0,159.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,78,[[65.70680608]],Historic
80,Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,4/03/2017,3.3,3206.0,2.0,0.0,211.0,1890.0,Port Phillip,Southern Metropolitan,79,131.0,Historic
81,Albert Park,94 Graham St,3,h,1850000.0,S,Greg,4/03/2017,3.3,3206.0,2.0,0.0,128.0,1890.0,Port Phillip,Southern Metropolitan,80,131.0,Historic
82,Albert Park,396 Montague St,2,h,1436000.0,S,RT,4/03/2017,3.3,3206.0,1.0,0.0,130.0,1900.0,Port Phillip,Southern Metropolitan,81,121.0,Historic
83,Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,6/08/2016,3.3,3206.0,1.0,0.0,147.0,1900.0,Port Phillip,Southern Metropolitan,82,121.0,Historic
84,Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,7/05/2016,3.3,3206.0,1.0,1.0,167.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,83,[[65.70680608]],Historic
85,Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,7/05/2016,3.3,3206.0,2.0,1.0,153.0,1880.0,Port Phillip,Southern Metropolitan,84,141.0,Historic
86,Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,7/11/2016,3.3,3206.0,2.0,2.0,718.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,85,[[65.70680608]],Historic
87,Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3206.0,2.0,1.0,132.0,1996.0,Port Phillip,Southern Metropolitan,86,25.0,Contemporary
88,Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,10/09/2016,3.3,3206.0,1.0,1.0,199.0,1900.0,Port Phillip,Southern Metropolitan,87,121.0,Historic
89,Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10/09/2016,3.3,3206.0,1.0,1.0,253.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,88,[[65.70680608]],Historic
90,Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3206.0,2.0,1.0,90.0,1900.0,Port Phillip,Southern Metropolitan,89,121.0,Historic
91,Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016,3.3,3206.0,1.0,0.0,240.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,90,[[65.70680608]],Historic
92,Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3206.0,2.0,1.0,177.0,1880.0,Port Phillip,Southern Metropolitan,91,141.0,Historic
93,Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,10/12/2016,3.3,3206.0,2.0,1.0,237.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,92,[[65.70680608]],Historic
94,Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,10/12/2016,3.3,3206.0,1.0,0.0,129.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,93,[[65.70680608]],Historic
95,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.3,3206.0,2.0,2.0,0.0,2000.0,Port Phillip,Southern Metropolitan,94,21.0,Contemporary
96,Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12/11/2016,3.3,3206.0,1.0,0.0,288.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,95,[[65.70680608]],Historic
97,Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,228.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,96,[[65.70680608]],Historic
98,Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15/10/2016,3.3,3206.0,1.0,0.0,149.0,1890.0,Port Phillip,Southern Metropolitan,97,131.0,Historic
99,Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15/10/2016,3.3,3206.0,1.0,0.0,141.0,1890.0,Port Phillip,Southern Metropolitan,98,131.0,Historic
100,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16/04/2016,3.3,3206.0,2.0,1.0,211.0,1900.0,Port Phillip,Southern Metropolitan,99,121.0,Historic
101,Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,18/03/2017,3.3,3206.0,1.0,0.0,209.0,1900.0,Port Phillip,Southern Metropolitan,100,121.0,Historic
103,Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,18/06/2016,3.3,3206.0,3.0,1.0,327.0,1910.0,Port Phillip,Southern Metropolitan,102,111.0,Historic
104,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016,3.3,3206.0,1.0,1.0,0.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,103,[[65.70680608]],Historic
105,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,23/04/2016,3.3,3206.0,1.0,1.0,120.0,1900.0,Port Phillip,Southern Metropolitan,104,121.0,Historic
106,Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,3206.0,1.0,1.0,238.0,1890.0,Port Phillip,Southern Metropolitan,105,131.0,Historic
107,Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,25/02/2017,3.3,3206.0,1.0,0.0,0.0,1970.0,Port Phillip,Southern Metropolitan,106,51.0,Contemporary
109,Albert Park,32 Page St,2,h,1340000.0,S,Greg,25/02/2017,3.3,3206.0,1.0,0.0,136.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,108,[[65.70680608]],Historic
110,Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,25/02/2017,3.3,3206.0,1.0,1.0,202.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,109,[[65.70680608]],Historic
111,Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,26/07/2016,3.3,3206.0,3.0,1.0,0.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,110,[[65.70680608]],Historic
113,Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,27/06/2016,3.3,3206.0,2.0,1.0,183.0,1880.0,Port Phillip,Southern Metropolitan,112,141.0,Historic
114,Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,27/11/2016,3.3,3206.0,1.0,1.0,162.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,113,[[65.70680608]],Historic
115,Albert Park,6 Brooke St,2,h,980000.0,S,Greg,28/05/2016,3.3,3206.0,1.0,0.0,79.0,1890.0,Port Phillip,Southern Metropolitan,114,131.0,Historic
116,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,3206.0,2.0,0.0,152.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,115,[[65.70680608]],Historic
117,Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,3206.0,2.0,2.0,147.0,1890.0,Port Phillip,Southern Metropolitan,116,131.0,Historic
118,Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,30/07/2016,3.3,3206.0,3.0,1.0,0.0,[[1955.29319392]],Port Phillip,Southern Metropolitan,117,[[65.70680608]],Historic
119,Albert Park,9 Durham St,1,h,985000.0,S,Marshall,30/07/2016,3.3,3206.0,1.0,0.0,81.0,1900.0,Port Phillip,Southern Metropolitan,118,121.0,Historic
120,Alphington,6 Smith St,4,h,2000000.0,S,Brace,3/09/2016,6.4,3078.0,2.0,4.0,853.0,1930.0,Darebin,Northern Metropolitan,119,91.0,Historic
121,Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,3/09/2016,6.4,3078.0,2.0,2.0,208.0,2013.0,Yarra,Northern Metropolitan,120,8.0,Contemporary
122,Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,4/03/2017,6.4,3078.0,2.0,2.0,411.0,[[1959.94414276]],Darebin,Northern Metropolitan,121,[[61.05585724]],Historic
123,Alphington,44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016,6.4,3078.0,2.0,1.0,599.0,1925.0,Darebin,Northern Metropolitan,122,96.0,Historic
124,Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,12/06/2016,6.4,3078.0,4.0,4.0,809.0,1910.0,Darebin,Northern Metropolitan,123,111.0,Historic
125,Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.4,3078.0,1.0,1.0,88.0,1960.0,Darebin,Northern Metropolitan,124,61.0,Historic
126,Alphington,4/2 Miller St,2,t,805000.0,S,Miles,12/11/2016,6.4,3078.0,2.0,3.0,155.0,2004.0,Darebin,Northern Metropolitan,125,17.0,Contemporary
127,Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,12/11/2016,6.4,3078.0,1.0,1.0,0.0,[[1959.94414276]],Darebin,Northern Metropolitan,126,[[61.05585724]],Historic
128,Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,15/10/2016,6.4,3078.0,3.0,2.0,686.0,[[1959.94414276]],Darebin,Northern Metropolitan,127,[[61.05585724]],Historic
129,Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16/04/2016,6.4,3078.0,1.0,2.0,592.0,[[1959.94414276]],Darebin,Northern Metropolitan,128,[[61.05585724]],Historic
130,Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,18/03/2017,6.4,3078.0,1.0,1.0,183.0,[[1959.94414276]],Darebin,Northern Metropolitan,129,[[61.05585724]],Historic
131,Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016,6.4,3078.0,2.0,2.0,606.0,1970.0,Darebin,Northern Metropolitan,130,51.0,Contemporary
132,Alphington,38 Bennett St,4,h,2100000.0,S,Nelson,19/11/2016,6.4,3078.0,2.0,2.0,575.0,2008.0,Darebin,Northern Metropolitan,131,13.0,Contemporary
133,Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016,6.4,3078.0,1.0,1.0,180.0,2010.0,Darebin,Northern Metropolitan,132,11.0,Contemporary
134,Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,22/05/2016,6.4,3078.0,1.0,1.0,0.0,1960.0,Darebin,Northern Metropolitan,133,61.0,Historic
135,Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24/09/2016,6.4,3078.0,1.0,0.0,0.0,[[1959.94414276]],Yarra,Northern Metropolitan,134,[[61.05585724]],Historic
136,Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017,6.4,3078.0,1.0,1.0,0.0,1965.0,Darebin,Northern Metropolitan,135,56.0,Historic
137,Alphington,22 Lowther St,3,h,1165000.0,S,Barry,27/06/2016,6.4,3078.0,1.0,2.0,979.0,[[1959.94414276]],Yarra,Northern Metropolitan,136,[[61.05585724]],Historic
138,Alphington,11 Margaret Gr,4,h,1900000.0,SP,McGrath,27/11/2016,6.4,3078.0,2.0,2.0,556.0,1930.0,Yarra,Northern Metropolitan,137,91.0,Historic
139,Alphington,6 Naroon Rd,3,h,1485000.0,SP,McGrath,28/08/2016,6.4,3078.0,0.0,0.0,597.0,[[1959.94414276]],Darebin,Northern Metropolitan,138,[[61.05585724]],Historic
140,Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,30/07/2016,6.4,3078.0,2.0,3.0,589.0,1920.0,Darebin,Northern Metropolitan,139,101.0,Historic
141,Altona,158 Queen St,3,h,520000.0,VB,Greg,3/09/2016,13.8,3018.0,2.0,1.0,352.0,2015.0,Hobsons Bay,Western Metropolitan,140,6.0,Contemporary
142,Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,3/12/2016,13.8,3018.0,3.0,3.0,729.0,2005.0,Hobsons Bay,Western Metropolitan,141,16.0,Contemporary
143,Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,4/02/2016,13.8,3018.0,1.0,2.0,292.0,2013.0,Hobsons Bay,Western Metropolitan,142,8.0,Contemporary
144,Altona,4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017,13.8,3018.0,1.0,2.0,506.0,1930.0,Hobsons Bay,Western Metropolitan,143,91.0,Historic
145,Altona,20 Linnet St,4,h,780000.0,PI,Sweeney,4/06/2016,13.8,3018.0,1.0,4.0,655.0,[[1971.04640773]],Hobsons Bay,Western Metropolitan,144,[[49.95359227]],Contemporary
147,Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,6/08/2016,13.8,3018.0,1.0,2.0,311.0,1955.0,Hobsons Bay,Western Metropolitan,146,66.0,Historic
148,Altona,5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,6/08/2016,13.8,3018.0,1.0,1.0,65.0,[[1971.04640773]],Hobsons Bay,Western Metropolitan,147,[[49.95359227]],Contemporary
149,Altona,156 Maidstone St,3,h,660000.0,VB,Greg,7/05/2016,13.8,3018.0,1.0,1.0,602.0,1955.0,Hobsons Bay,Western Metropolitan,148,66.0,Historic
